,Material,STPO_Cut_Off,Key,Kolkata_STPO,GUWAHATI_STPO,Ranchi_STPO,Patna_STPO,Cuttack_STPO,Delhi_STPO,Ghaziabad_STPO,Chandigarh_STPO,LUCKNOW_STPO,Jalandhar_STPO,Jaipur_STPO,Chennai_STPO,Coimbatore_STPO,Madurai_STPO,Bangalore_STPO,SECUNDERABAD_STPO,Vijayawada_STPO,Cochin_STPO,Bhiwandi_STPO,AHMEDABAD_STPO,Pune_STPO,Indore_STPO,Nagpur_STPO,RAIPUR_STPO,GW07_STPO
0,ACGEI-ED PLUS,M_15th,ACGEI-ED PLUS_M_15th,,,48.0,,,,,,,,,,,,,,,,,,,,,,
1,ACGEI-HDC,M_15th,ACGEI-HDC_M_15th,,,12.0,,,,,,,,,,,,,,,,,,,,,,
2,ACGEI-PD PLUS,M_15th,ACGEI-PD PLUS_M_15th,,,,,,60.0,180.0,,180.0,,,,,,,,,,,,,120.0,,,
3,ACGEI-RD,M_15th,ACGEI-RD_M_15th,936.0,,,120.0,,192.0,240.0,,96.0,60.0,480.0,,1008.0,1644.0,,408.0,312.0,408.0,360.0,,,132.0,,,
4,ACGIC-CREST,M_15th,ACGIC-CREST_M_15th,,,36.0,54.0,,,,,,,,,,,,,,,,,,,,,
5,ACGJMG-RJPLUS,M_15th,ACGJMG-RJPLUS_M_15th,16.0,,,40.0,,,,112.0,,,,,,,12.0,20.0,,,,,,,,,
6,ACGM-DS51,M_15th,ACGM-DS51_M_15th,,,4.0,,,,,,,,,,,,,,,,,,,,,,
7,ACGM-DXT PLUS,M_15th,ACGM-DXT PLUS_M_15th,,,20.0,34.0,,,,,,,,,,,,,,,,,,,,,
8,ACGM-FROSTY LITE,M_15th,ACGM-FROSTY LITE_M_15th,,,6.0,,,,,,,,,,,,,,,,,,,,,,
9,ACGM-MANGO LITE,M_15th,ACGM-MANGO LITE_M_15th,,,18.0,,,,,,,,,,,,,,,,,,,,,,
10,ACGM-TD71,M_15th,ACGM-TD71_M_15th,,,40.0,108.0,,,,,,,,,,,,,,,,,,,,,
11,ACGM-VX,M_15th,ACGM-VX_M_15th,,,72.0,36.0,,,,,,,,,,,,,,,,,,,,,
12,ACGSI-ARISTO,M_15th,ACGSI-ARISTO_M_15th,,,,12.0,,,,,48.0,,,,84.0,,,,,,,,,,,,
