Traffic light,Shipping Point/Receiving Pt,Originating document,STPO_Cut_Off,Plant,Description,Material,Open quantity,Unrestricted
,W001,6200020812,M_15th,GE03,"CG-ED PLUS,750W,AUTOMATIC DRY IRON",ACGEI-ED PLUS,48,3840
,W001,6200020812,M_15th,GE03,"CG-HDC,1100W,AUTOMATIC DRY IRON",ACGEI-HDC,12,960
,W001,6200021052,M_15th,GW04,"DRY IRON,1000W,ORANGE/WHT,PD PLUS",ACGEI-PD PLUS,120,2508
,W001,6200021052,M_15th,GN04,"DRY IRON,1000W,ORANGE/WHT,PD PLUS",ACGEI-PD PLUS,180,2508
,W001,6200021137,M_15th,GN01,"DRY IRON,1000W,ORANGE/WHT,PD PLUS",ACGEI-PD PLUS,60,2508
,W001,6200021137,M_15th,GN02,"DRY IRON,1000W,ORANGE/WHT,PD PLUS",ACGEI-PD PLUS,180,2508
,W001,6200021112,M_15th,GS07,"750W, AUTOMATIC DRY ELECTRIC IRON(CG-RD)",ACGEI-RD,408,6396
,W001,6200021112,M_15th,GS06,"750W, AUTOMATIC DRY ELECTRIC IRON(CG-RD)",ACGEI-RD,312,6396
,W001,6200021112,M_15th,GS05,"750W, AUTOMATIC DRY ELECTRIC IRON(CG-RD)",ACGEI-RD,408,6396
,W001,6200021112,M_15th,GS03,"750W, AUTOMATIC DRY ELECTRIC IRON(CG-RD)",ACGEI-RD,1644,6396
,W001,6200021112,M_15th,GE04,"750W, AUTOMATIC DRY ELECTRIC IRON(CG-RD)",ACGEI-RD,120,6396
,W001,6200021137,M_15th,GN01,"750W, AUTOMATIC DRY ELECTRIC IRON(CG-RD)",ACGEI-RD,192,6396
,W001,6200021137,M_15th,GN02,"750W, AUTOMATIC DRY ELECTRIC IRON(CG-RD)",ACGEI-RD,240,6396
,W001,6200021137,M_15th,GN04,"750W, AUTOMATIC DRY ELECTRIC IRON(CG-RD)",ACGEI-RD,96,6396
,W001,6200021137,M_15th,GN06,"750W, AUTOMATIC DRY ELECTRIC IRON(CG-RD)",ACGEI-RD,480,6396
,W001,6200021137,M_15th,GE01,"750W, AUTOMATIC DRY ELECTRIC IRON(CG-RD)",ACGEI-RD,936,6396
,W001,6200021137,M_15th,GW01,"750W, AUTOMATIC DRY ELECTRIC IRON(CG-RD)",ACGEI-RD,360,6396
,W001,6200021137,M_15th,GW04,"750W, AUTOMATIC DRY ELECTRIC IRON(CG-RD)",ACGEI-RD,132,6396
,W001,6200021137,M_15th,GS02,"750W, AUTOMATIC DRY ELECTRIC IRON(CG-RD)",ACGEI-RD,1008,6396
,W001,6200021112,M_15th,GN05,"750W, AUTOMATIC DRY ELECTRIC IRON(CG-RD)",ACGEI-RD,60,6396
,W001,6200020974,M_15th,GE04,"INDUCTION COOKTOP,1500W,CREST",ACGIC-CREST,54,94
,W001,6200020974,M_15th,GE03,"INDUCTION COOKTOP,1500W,CREST",ACGIC-CREST,36,94
,W001,6200020812,M_15th,GS05,"JMG, 450W, 2 JAR, 2 SPEED",ACGJMG-RJPLUS,20,0
,W001,6200020812,M_15th,GS04,"JMG, 450W, 2 JAR, 2 SPEED",ACGJMG-RJPLUS,12,0
,W001,6200020812,M_15th,GE04,"JMG, 450W, 2 JAR, 2 SPEED",ACGJMG-RJPLUS,40,0
,W001,6200020812,M_15th,GE01,"JMG, 450W, 2 JAR, 2 SPEED",ACGJMG-RJPLUS,16,0
,W001,6200020812,M_15th,GN03,"JMG, 450W, 2 JAR, 2 SPEED",ACGJMG-RJPLUS,112,0
,W001,6200020812,M_15th,GE03,"CG-DS51, 500 W,3 JAR MIXER GRINDER",ACGM-DS51,4,656
,W001,6200020580,M_15th,GE03,"CG-DXT PLUS,750W,4 JAR,MIXER GRINDER",ACGM-DXT PLUS,16,314
,W001,6200020974,M_15th,GE03,"CG-DXT PLUS,750W,4 JAR,MIXER GRINDER",ACGM-DXT PLUS,4,314
,W001,6200020974,M_15th,GE04,"CG-DXT PLUS,750W,4 JAR,MIXER GRINDER",ACGM-DXT PLUS,34,314
,W001,6200020812,M_15th,GE03,"FROSTY LITE,650W,3 JAR,MIXER GRINDER",ACGM-FROSTY LITE,6,24
,W001,6200020812,M_15th,GE03,"MANGO LITE,750W,3 JAR, MIXER GRINDER",ACGM-MANGO LITE,18,28
,W001,6200020974,M_15th,GE04,"CG-TD71,750 W,3 JAR,MIXER GRINDER",ACGM-TD71,108,612
,W001,6200020974,M_15th,GE03,"CG-TD71,750 W,3 JAR,MIXER GRINDER",ACGM-TD71,40,612
,W001,6200020812,M_15th,GE03,"CG-VX, 600W, 3 JAR,MIXER GRINDER",ACGM-VX,8,388
,W001,6200020974,M_15th,GE04,"CG-VX, 600W, 3 JAR,MIXER GRINDER",ACGM-VX,36,388
,W001,6200020974,M_15th,GE03,"CG-VX, 600W, 3 JAR,MIXER GRINDER",ACGM-VX,64,388
,W001,6200021052,M_15th,GS02,"STEAM IRON,1200W,STEAM/SPRAY,ARISTO",ACGSI-ARISTO,84,96
,W001,6200021052,M_15th,GE04,"STEAM IRON,1200W,STEAM/SPRAY,ARISTO",ACGSI-ARISTO,12,96
,W001,6200021052,M_15th,GN04,"STEAM IRON,1200W,STEAM/SPRAY,ARISTO",ACGSI-ARISTO,48,96
,W001,6200021137,M_15th,GE04,VOLTAGE STABILIZER 100V-1.5TAC,ACGVS-100VAC,18,0
,W001,6200021137,M_15th,GE03,VOLTAGE STABILIZER 100V-1.5TAC,ACGVS-100VAC,14,0
,W001,6200021137,M_15th,GE05,VOLTAGE STABILIZER 100V-1.5TAC,ACGVS-100VAC,38,0
,W001,6200021137,M_15th,GW04,VOLTAGE STABILIZER 100V-1.5TAC,ACGVS-100VAC,5,0
,W001,6200020811,M_15th,GS03,"IWH SOL (3KW)-IVY,CL I, 6.5 BAR, 1 LTR",AIWH01PC1(3KW)-IVY,30,258
,W001,6200020811,M_15th,GS02,"IWH SOL (3KW)-IVY,CL I, 6.5 BAR, 1 LTR",AIWH01PC1(3KW)-IVY,24,258
,W001,6200020928,M_15th,GE05,ALPHABRIZ 1200MM BROWN CF WOR,ALBRIZ48BRN,240,92
,W001,6200020928,M_15th,GE01,ALPHABRIZ 1200MM BROWN CF WOR,ALBRIZ48BRN,180,92
,W001,6200020928,M_15th,GE02,ALPHABRIZ 1200MM BROWN CF WOR,ALBRIZ48BRN,500,92
,W001,6200020928,M_15th,GE04,ALPHABRIZ 1200MM BROWN CF WOR,ALBRIZ48BRN,1184,92
,W001,6200020931,M_25th,GE04,ALPHABRIZ 1200MM BROWN CF WOR,ALBRIZ48BRN,748,92
,W001,6200020931,M_25th,GE02,ALPHABRIZ 1200MM BROWN CF WOR,ALBRIZ48BRN,1400,92
,W001,6200020931,M_25th,GE05,ALPHABRIZ 1200MM BROWN CF WOR,ALBRIZ48BRN,160,92
,W001,6200020931,M_25th,GE01,ALPHABRIZ 1200MM BROWN CF WOR,ALBRIZ48BRN,164,92
