Material Code,GE01,GE05,GN01,GN02,GN03,GN04,GN05,GN06,GS01,GS03,GS04,GS05,GS06,GS07,GW01,GW02,GW03,GW05,GW07
500MMCKM-MARKI,,,0.0,,0.0,,0.0,0.0,,,,,,,,,,,
ACGEI-ED PLUS,504.0,432.0,0.0,108.0,,,0.0,0.0,,,,192.0,,,240.0,,,432.0,
ACGEI-HDC,12.0,,,,,,,,,,,108.0,60.0,,60.0,,,12.0,
ACGEI-LD PLUS,,,,,,,,,,,,,,,120.0,,,,0.0
ACGEI-PD PLUS,,,,,,,,0.0,192.0,,,,,,,,,24.0,
ACGIH-IHL102,,,,,0.0,,,,,,,0.0,,,,,,,
ACGIH-IHL152,,,,,0.0,,,,,,,,,,,,,,
ACGJMG-RJPLUS,76.0,,,,0.0,,0.0,0.0,,,20.0,,,,,,,8.0,
ACGM-DS51,1484.0,880.0,,300.0,,,,0.0,,,,,,,92.0,,,8.0,
ACGM-DS53,,,,8.0,,,,,,,,,,,24.0,,,,0.0
ACGM-DXT PLUS,,330.0,,,,,,,2.0,,18.0,0.0,44.0,,,,,10.0,
ACGM-FROSTY LITE,146.0,200.0,,,,,,,,,20.0,,,,10.0,,,,
ACGM-MANGO LITE,108.0,266.0,,,,,,,,,,,,,12.0,,,,
ACGM-SIERRA 500,,28.0,,,,,,0.0,,,,,,,,,,,
ACGM-SIERRA 600,,12.0,,,,,,,,,,,,,,,,,
ACGM-TD71,,180.0,,,,,,,,,,,,,,,,,
ACGM-VX,,78.0,,,,,,,,,36.0,,,,40.0,,,,
ACGVS-130VAC,30.0,,,,,0.0,,,50.0,,,,30.0,,8.0,,,,
ACGVS-150VAC,,,,,,0.0,,,33.0,,,,,,9.0,,,,
ACGVS-170VAC,,,0.0,60.0,0.0,0.0,0.0,,,,18.0,,,,,,,,
AIWH01BLISS(3KW),,,,,,,,,,28.0,,,,,,,,,
AIWH01PC1(3KW)-IVY,,,0.0,,0.0,,,,,,,,,,120.0,,,,
AIWH03BLISS(3KW),,,,,0.0,,,,,32.0,120.0,380.0,108.0,,,,,,
AIWH03PC1(3KW)-IVY,96.0,,0.0,,0.0,,,316.0,316.0,,260.0,696.0,,12.0,,,,,
ALBRIZ48BRN,1060.0,,,,,,,,,,,,,,,,,,
ARYBRZ48BRN,452.0,,0.0,,,,0.0,,,,,,,,200.0,0.0,,,
ARYBRZ48IVY,,,,,,,,,,,,,,,,0.0,,,
ARYBRZ48OPW,108.0,,0.0,,0.0,,0.0,0.0,,,,,,,284.0,0.0,,,
AST48BRN,,,,,,0.0,,,,,,,,,,,,,
ASWH1010-WHTGRYSIL,,,,,,,,,,5.0,10.0,6.0,,,,,,,
ASWH1015-WHTGRYSIL,24.0,,0.0,27.0,0.0,,0.0,0.0,15.0,9.0,12.0,22.0,,,6.0,,,,
ASWH1025-WHTGRYSIL,,,0.0,16.0,0.0,0.0,0.0,,,,4.0,,,,5.0,,,,
ASWH1310-WHT/BLU,,,,,,,,,,,,,18.0,,,,,,
ASWH1315-WHT/BLU,,,,,,,0.0,,6.0,,20.0,12.0,6.0,,,,,,
ASWH1325-WHT/BLU,,,,,,,,,,,,0.0,,,,,,,
ASWH1410-WHT/BRW,,,,,,,,20.0,,,,89.0,,,12.0,,,,0.0
ASWH1415-WHT/BRW,,,,,,,,48.0,6.0,,24.0,41.0,,,,,,,
ASWH1425-WHT/BRW,,,0.0,30.0,0.0,,,,,,,0.0,,,6.0,,,,
ASWH1515-WHT/BRW,,,,,0.0,0.0,,215.0,45.0,23.0,122.0,625.0,72.0,,30.0,,,,
ASWH1525-WHT/BRW,,,,,,,,22.0,9.0,9.0,60.0,39.0,,8.0,14.0,,,,
ASWH435-IVY,,,,,0.0,,,,,,,,,,,,,,
ASWH450-IVY,,,,,0.0,,,,,,,,,,,,,,
ASWH606A-IVY,,,,,,,,,,,15.0,69.0,,21.0,7.0,,,,
ASWH610A-IVY,,,,,,,,159.0,,6.0,8.0,63.0,15.0,7.0,11.0,,,,
ASWH615HZ-IVY,,,,,,,,,,,,,,,100.0,,,,
ASWH625HZ-IVY,,,,,,,,,,,,,,,50.0,,,,
ASWH806-IVY,8.0,,,,,,,,,,,,,,,,,,
ASWH810-IVY,68.0,,,,0.0,,,,,6.0,26.0,94.0,18.0,11.0,10.0,,,,
ASWH815-IVY,49.0,,,,0.0,,,,48.0,12.0,36.0,156.0,60.0,12.0,90.0,,,,
ASWH825-IVY,24.0,,0.0,,,,,,12.0,,48.0,45.0,18.0,4.0,18.0,,,,
AURA36NEWWHT,,,,,,,,,,,,0.0,,,2.0,,2.0,,
AURA48BRNDLX,940.0,,0.0,,0.0,,,0.0,1300.0,,380.0,0.0,296.0,,120.0,,,,
AURA48NEWWHT,,,,,,,,,200.0,,4.0,100.0,32.0,,124.0,,,160.0,
AURPMAD48TTE,316.0,,0.0,,,,,,,,,,,,,,,,
AVR48SWT,28.0,,,64.0,,,,,156.0,64.0,86.0,20.0,,,,,,,
AVRPMAD48COCO,,,,,,,,,,,,,,,,0.0,,,
AVRPMAD48IBL,,,0.0,,,,,,,,,,,,,,,,
AVRPRIME48NWD,,,0.0,46.0,,,,0.0,,,,,,,,,24.0,,
AXIALAIR4IVY,,,,,,,,,,,320.0,,,,,,,,
AXIALAIR4WHT,,,,,,,,,,,,,,,20.0,,20.0,,
AXIALAIR6IVY,1200.0,,,,,,,,,,720.0,,,,120.0,,200.0,,
AXIALAIR6WHTN,,,,,,,,,80.0,,,680.0,,,,,,,
BRISKAIR6HSIVYN,,,,,,,,,,,,,40.0,,104.0,,32.0,,
BRIZ24BRN,,,,,0.0,,,,,,,,,,768.0,,,,
BRIZ24IVY,,,,,,,,,,,,,,,216.0,,,,
BRIZ24OPW,,,0.0,,,,,,,,,,,,,,,,
BRIZ42BRN,,,,,,,,,,,,,,,108.0,,,,
BRIZ48IVY,,,,,,,,,,,,,,,4.0,,,,
BRIZ48OPW,,,,,,,,,,,,,,,8.0,,,,
BRIZDEC48BRNN,,,,,,,,,,,,,,,,,16.0,,
CB24LB,,,,,,,,,,,,4.0,,,,,,,
CB36LB,,,,,0.0,,,,192.0,48.0,,,,,,,,,
CB48IVY,,,,,,,,152.0,,,88.0,,,160.0,368.0,,36.0,,
CB48LB,,,,,0.0,,,,,,,0.0,,2224.0,,,,,
CB48OPW,,,,,,0.0,,0.0,,,,,,,,,,,
CBDECO48IVY,,,,,,,,,,,300.0,,,,,,8.0,,
CBDECO48LB,,,,,,,,,,,,,,,,,20.0,,
DIGNITAAD48CRML,,,,,,,,,72.0,208.0,72.0,60.0,64.0,,,,,,
DIGNITAAD48RSBY,,,,,,,,,,324.0,,,,,,,,,
DIGNITAAD48SONX,,,,,,,,,,216.0,,,,,,,,,
DRIFTAIRPLUS12OPW,,,,,0.0,,,,12.0,,,,,,,,,,
DRIFTAIRPLUS6OPW,,,,,,,,,12.0,,,12.0,,,,,,,
DVN48RBN,,,,,,,,,,,,,200.0,,68.0,,64.0,34.0,
ENT48BRN,,,,,,,,,,,,,224.0,,,,,,
EXHD300-4-1,,,,,,,,21.0,52.0,,100.0,,,,,,,,
EXHD300-6-1,,,,,,,,,,,13.0,,,,,,,,
EXHD380-4-1,,,0.0,,,,,0.0,,,,62.0,,,109.0,,,,
EXHD450-4-1,,,0.0,,,,,,,,175.0,,,,,,,,
