Material,STPO_Cut_Off,GE01,GE02,GE03,GE04,GE05,GN01,GN02,GN03,GN04,GN05,GN06,GS01,GS02,GS03,GS04,GS05,GS06,GS07,GW01,GW02,GW03,GW04,GW05,GW06,GW07
ACGEI-ED PLUS,M_15th,,,48.0,,,,,,,,,,,,,,,,,,,,,,
ACGEI-HDC,M_15th,,,12.0,,,,,,,,,,,,,,,,,,,,,,
ACGEI-PD PLUS,M_15th,,,,,,60.0,180.0,,180.0,,,,,,,,,,,,,120.0,,,
ACGEI-RD,M_15th,936.0,,,120.0,,192.0,240.0,,96.0,60.0,480.0,,1008.0,1644.0,,408.0,312.0,408.0,360.0,,,132.0,,,
ACGIC-CREST,M_15th,,,36.0,54.0,,,,,,,,,,,,,,,,,,,,,
ACGJMG-RJPLUS,M_15th,16.0,,,40.0,,,,112.0,,,,,,,12.0,20.0,,,,,,,,,
ACGM-DS51,M_15th,,,4.0,,,,,,,,,,,,,,,,,,,,,,
ACGM-DXT PLUS,M_15th,,,20.0,34.0,,,,,,,,,,,,,,,,,,,,,
ACGM-FROSTY LITE,M_15th,,,6.0,,,,,,,,,,,,,,,,,,,,,,
ACGM-MANGO LITE,M_15th,,,18.0,,,,,,,,,,,,,,,,,,,,,,
ACGM-TD71,M_15th,,,40.0,108.0,,,,,,,,,,,,,,,,,,,,,
ACGM-VX,M_15th,,,72.0,36.0,,,,,,,,,,,,,,,,,,,,,
ACGSI-ARISTO,M_15th,,,,12.0,,,,,48.0,,,,84.0,,,,,,,,,,,,
ACGVS-100VAC,M_15th,,,14.0,18.0,38.0,,,,,,,,,,,,,,,,,5.0,,,
AIWH01PC1(3KW)-IVY,M_15th,,,,,,,,,,,,,24.0,30.0,,,,,,,,,,,
ALBRIZ48BRN,M_15th,180.0,500.0,,1184.0,240.0,,,,,,,,,,,,,,,,,,,,
ALBRIZ48BRN,M_25th,164.0,1400.0,,748.0,160.0,,,,,,,,,,,,,,,,,,,,
ALBRIZ48IVY,M_25th,,20.0,,,,,,,,,,,,,,,,,,,,,,,
ALBRIZ48OPW,M_15th,,808.0,40.0,,60.0,,,,,,,,,,,,,,,,,,,,
ALBRIZ48OPW,M_25th,,600.0,160.0,,40.0,,,,,,,,,,,,,,,,,,,,
ARYBRZ48BRN,M_15th,,,,,,,,,,92.0,140.0,,,,,,,,,,,,,,
ARYBRZ48IVY,M_15th,,,,,,124.0,100.0,,,,372.0,,,,,,,,,,680.0,,,,
ARYBRZ48IVY,M_25th,,,8.0,40.0,92.0,84.0,68.0,,,,248.0,,,,,,,,116.0,116.0,4.0,,,,
ARYBRZ48LBN,M_15th,,,,,,,,820.0,,,,,,,,,,,,,,,,,
ARYBRZ48OPW,M_15th,,,,,,96.0,180.0,180.0,,696.0,,,,,,,,,,,,,,,
ARYBRZ48OPW,M_25th,,,,,,904.0,164.0,164.0,,492.0,412.0,,,,,,,,,,,,,,
AST48BRN,M_25th,,,,,,,,,,,,,,,,,,,,64.0,,,,,
AST48OPW,M_25th,,,,,,,,,,,,,,,,,,,,44.0,,,,,
ASWH1025-WHTGRYSIL,M_15th,,,,,,,,,,,,6.0,,,12.0,,,,,,,20.0,,,
ASWH1515-WHT/BRW,M_15th,,,,,,,,,,,,,,,,,,,,,,,1.0,,
ASWH450-IVY,M_15th,,,,,,,,,,,,,,,,,,,30.0,,,,,,
ASWH615HZ-IVY,M_15th,,,,,,,,,,,,11.0,,,,,,,,,,,,,
AURA36NEWWHT,M_25th,,,,,,,,12.0,,,,,,,,,,,,,4.0,,32.0,,
AURA48BRNDLX,M_15th,,16.0,48.0,,,,,,,,,,188.0,152.0,48.0,216.0,,232.0,,,,,,,
AURA48BRNDLX,M_25th,,4.0,,,,,,,,,,,180.0,140.0,,,,,,,,48.0,,,
AURA48IVYDLX,M_15th,,,,,,,,,,,,,,,,,224.0,,,,,,,,
AURA48NEWWHT,M_15th,,,,,,,,,,,,,,,,,,,,44.0,,,,12.0,
AURA48NEWWHT,M_25th,,,,,8.0,,4.0,28.0,,,,,64.0,48.0,,,36.0,36.0,,20.0,,60.0,,36.0,
AURA56NEWWHT,M_15th,,,,,,,,,32.0,,,,,,,,,,,,,,,,
AURPMAD36BKE,M_15th,,,,,,,20.0,26.0,,,,,,,,,,,,,,,,,
AURPMAD36ONX,M_15th,,,,,,,,,26.0,,,,,,,,,,,,,,,,
AURPMAD48BSC,M_15th,,,,,,,12.0,,,,,,,,,,,,,,,,,,
AURPMAD48CHK,M_15th,,,,,,,,,66.0,,,,,,,,,,,,,,,,
AURPMAD48HGD,M_15th,,,,,,,4.0,16.0,,,,,,,,,,,,,,,,,
AURPMAD48HMG,M_15th,,,,,,,48.0,48.0,,16.0,,,,,,,,,,,,,,,
AURPMAD48TTE,M_15th,212.0,,,,44.0,,,,24.0,,,,,,,,,,,,96.0,76.0,,,
AURPMAD56BKE,M_15th,,,,,,,,68.0,,,,,,,,,,,,,,,,,
AVR36SWT,M_15th,,,,,,,,38.0,,,,,,,,,,,,,,,,,
AVR48SWT,M_15th,,,,,,,,,,,,,50.0,,30.0,120.0,114.0,144.0,,,,,,,
AVR48SWT,M_25th,,,,,,,,,,,,,34.0,,,26.0,,16.0,,,,,,,
AVRPMAD36BBR,M_15th,,,,,,,4.0,54.0,,,,,,,,,,,,,,,,,
AVRPMAD48CBN,M_15th,,,,,,,18.0,48.0,,,,,,,,,,,,,,,,,
