Item Name,Date,Bhiwandi,Vijayawada,SECUNDERABAD,Ranchi,RAIPUR,Patna,Nagpur,Pune,Madurai,LUCKNOW,Kolkata,Indore,GUWAHATI,Coimbatore,Cochin,Chennai,Cuttack,Bangalore,AHMEDABAD,Jalandhar,Jaipur,Ghaziabad,Delhi,Chandigarh
ACGEI-RD,M_15th,360,312,408,,,120,,,1644,96,936,132,,1008,408,,,,,60,480,240,192,
ASWH450-IVY,M_15th,0,,,,,,,,,,,,,,,,,,,,,,,
AVRPMAD48COCO,M_15th,190,,,,,,,,,280,,,,,,,,,8,226,,200,,20
BRISKAIR6HSBLKN,M_15th,0,,,,,0,,,,,,,,,,,,,,,,,,
BRISKAIR6HSBRNN,M_15th,0,,,,,,,,,,,,,,,,,,,,,,,
BRISKAIR6HSWHTN,M_15th,16,,,,,,,,,,,,,,,0,,,0,,,,,
BRISKAIR8HSIVYN,M_15th,0,0,,,,,,,,,,,,,,,,,,,,,,
BRISKAIR8HSWHTN,M_15th,8,,,,,,,,,,,,,,,,,,0,,,,,
BRISKAIRPLUS6BRN,M_15th,0,,,,,0,,,,,,,,,,,,,,,,,,
BRISKAIRPLUS6IVY,M_15th,0,,,,,,,,,,,,,,,,,,,,,,,
BRISKAIRPLUS8WHT,M_15th,4,,,,,,,,,,,,,200,,,,,,,,,,
BRIZ42BRN,M_15th,4,,,,,,,,,,,,,,,,,,0,,0,,,
BRIZDEC48IVY,M_15th,0,,,,,,,0,,,,,,,,,,,0,,,,,0
DVN48RBN,M_15th,0,,,,,,,,,,,0,,,,,0,,0,,0,0,,0
EXHD300-6-1,M_15th,15,,,,,,,,,46,,,,,,,,,,,45,11,73,
EXHD450-4-3,M_15th,20,,,,,,,,,,,,,,,,,,0,,,,,
EXHD600-6-1,M_15th,4,,,,,,,,,22,0,0,,,,,,,0,0,0,0,0,0
EXHD600-6-3,M_15th,11,,,,0,,,,,,,,,,,,,,,,,,,0
HS42OPW,M_15th,24,,,,,,,0,0,,0,0,,,,,,,0,,,,,
HS48OPW,M_15th,140,,,,,,,,,,,,,,,,36,,,,84,,,
LRN48HGD,M_15th,0,,0,,,,,,,,0,,0,,,,,,0,,0,,,
