Material,Material description,Unrestricted,Storage Location,Plant,Value Unrestricted,Base Unit of Measure,DF stor. loc. level,Currency,Transit and Transfer,Val. in Trans./Tfr,In Quality Insp.,Value in QualInsp.,Restricted-Use Stock,Value Restricted,Blocked,Value BlockedStock,Returns,Value Rets Blocked
500MMCKM-MARKI,500MM COOLER FAN,472,2000,W001,498432,NOS,,INR,0,0,0,0,0,0,0,0,0,0
AC450PED-1,"18""PEDESTAL -SINGLE PHASE",5,2000,W001,13635,NOS,,INR,0,0,0,0,0,0,0,0,0,0
ACGBBTT-PS160,"12V,160AH POWER PLUS TALLTUBULAR BATTERY",5,2000,W001,35845,NOS,,INR,0,0,0,0,0,0,0,0,0,0
ACGBBTT-PS180,"12V,180AH POWER PLUS TALLTUBULAR BATTERY",5,2000,W001,38500,NOS,,INR,0,0,0,0,0,0,0,0,0,0
ACGEI-ED PLUS,"CG-ED PLUS,750W,AUTOMATIC DRY IRON",3840,2000,W001,828045,NOS,,INR,0,0,0,0,0,0,0,0,0,0
ACGEI-HDC,"CG-HDC,1100W,AUTOMATIC DRY IRON",960,2000,W001,260000,NOS,,INR,0,0,0,0,0,0,0,0,0,0
ACGEI-LD PLUS,"CG-LD PLUS,1000W, AUTOMATIC DRY IRON",1848,2000,W001,399353,NOS,,INR,0,0,0,0,0,0,0,0,0,0
ACGEI-PD PLUS,"DRY IRON,1000W,ORANGE/WHT,PD PLUS",2508,2000,W001,617971,NOS,,INR,0,0,0,0,0,0,0,0,0,0
ACGEI-RD,"750W, AUTOMATIC DRY ELECTRIC IRON(CG-RD)",6396,2000,W001,1283038,NOS,,INR,0,0,0,0,0,0,0,0,0,0
ACGEI-SD,"CG-SD, 750W,AUTOMATIC DRY IRON",10,2000,W001,2006,NOS,,INR,0,0,0,0,0,0,0,0,0,0
ACGHU800SW,"800VA, PURE SINE WAVE  UPS",3,2000,W001,8160,NOS,,INR,0,0,0,0,0,0,0,0,0,0
ACGIC-CREST,"INDUCTION COOKTOP,1500W,CREST",94,2000,W001,83660,NOS,,INR,0,0,0,0,0,0,0,0,0,0
ACGIC-SMARTPLUS,"PORTABLE INDUCTION COOKTOP,SMART P,2000W",0,2000,W001,0,NOS,,INR,0,0,498,612540,0,0,0,0,0,0
ACGIH-IHL102,"IMMERSION WATER HEATER,1000W,IND LIGHT",5860,2000,W001,1037220,NOS,,INR,0,0,0,0,0,0,0,0,0,0
ACGIH-IHL152,"IMMERSION WATER HEATER,1500W,IND LIGHT",1920,2000,W001,366720,NOS,,INR,0,0,0,0,0,0,0,0,0,0
ACGM-DS51,"CG-DS51, 500 W,3 JAR MIXER GRINDER",656,2000,W001,654688,NOS,,INR,0,0,0,0,0,0,0,0,0,0
ACGM-DS53,"500W, 3 JAR MIXER GRINDER, PROTON",760,2000,W001,812971,NOS,,INR,0,0,0,0,0,0,0,0,0,0
ACGM-DXT PLUS,"CG-DXT PLUS,750W,4 JAR,MIXER GRINDER",314,2000,W001,532230,NOS,,INR,0,0,0,0,0,0,0,0,0,0
ACGM-FROSTY LITE,"FROSTY LITE,650W,3 JAR,MIXER GRINDER",24,2000,W001,32736,NOS,,INR,0,0,0,0,0,0,0,0,0,0
ACGM-MANGO LITE,"MANGO LITE,750W,3 JAR, MIXER GRINDER",28,2000,W001,40908,NOS,,INR,0,0,0,0,0,0,0,0,0,0
ACGM-SIERRA 600,"SIERRA,600W,3 JAR MIXER GRINDER",4,2000,W001,4768,NOS,,INR,0,0,0,0,0,0,0,0,0,0
ACGM-TD71,"CG-TD71,750 W,3 JAR,MIXER GRINDER",612,2000,W001,859860,NOS,,INR,0,0,0,0,0,0,0,0,0,0
ACGM-VX,"CG-VX, 600W, 3 JAR,MIXER GRINDER",388,2000,W001,472584,NOS,,INR,0,0,0,0,0,0,0,0,0,0
