PO No.,PO Date,Dispatching Plant,Dispatching Plant Desc.,Region of Sending plant,Region Desc,VAT No of sending plant,Receiving Plant,Receiving Plant Desc.,Region of Receiving Plant,Region Desc,VAT No of Receiving Plant,Material Code,Material Description,Mat.Div,Mat.Grp,Mat.Type,Ex Inv No,Ex date,Basic,Assessable Value,Ex.Duty,Total,Stock Transfer Invoice No.,Stock Invoice Item.,Stock Transfer Invoice date.,Del doc,Del Qty,Del UOM,Del.Doc.Dt.,GI Qty,GR No.,GR Date,GR Qty,GR Sloc,GR Value,GIT Qty
6200020712,30-12-2017,W001,CENTRAL GODOWN - AMBALA,7,Haryana,6113024321,GW01,MUMBAI,13,Maharashtra,27721151233V DT 01/01/2016,SUPERBRIZDEC48SMBR,"SUPER BRIZ DECO 48""SMOKED BROWN C.FAN",20,FNCFECODC,ZFGS,,,90851,113100,0,90851,968211555,2531,02-01-2018,108432889,100,NOS,02-01-2018,100,,,0,,0,100
6200020712,30-12-2017,W001,CENTRAL GODOWN - AMBALA,7,Haryana,6113024321,GW03,PUNE,13,Maharashtra,27721151233V DT 01/01/2016,TRIT48ABR,TRITON 1200MM ANTQ BRASS WOR CF,20,FNCFPRM,ZFGS,,,79224,79177,0,79224,968211554,2861,02-01-2018,108432888,26,NOS,02-01-2018,26,,,0,,0,26
6200020712,30-12-2017,W001,CENTRAL GODOWN - AMBALA,7,Haryana,6113024321,GW03,PUNE,13,Maharashtra,27721151233V DT 01/01/2016,SUPERBRIZDEC48SMBR,"SUPER BRIZ DECO 48""SMOKED BROWN C.FAN",20,FNCFECODC,ZFGS,,,290723,361920,0,290723,968211554,2851,02-01-2018,108432888,320,NOS,02-01-2018,320,,,0,,0,320
6200020712,30-12-2017,W001,CENTRAL GODOWN - AMBALA,7,Haryana,6113024321,GW03,PUNE,13,Maharashtra,27721151233V DT 01/01/2016,AXIALAIR6IVY,"AXIAL AIR 150 MM (6"") FAN IVY",20,FNDOMEX,ZFGS,,,113812,138450,0,113812,968211554,2781,02-01-2018,108432888,200,NOS,02-01-2018,200,,,0,,0,200
6200020813,02-01-2018,W001,CENTRAL GODOWN - AMBALA,7,Haryana,6113024321,GW01,MUMBAI,13,Maharashtra,27721151233V DT 01/01/2016,ASWH815-IVY,"SWH15 LT (815) Solarium Dlx, V MTG, IVY",22,ASWH,ZFGS,,,418419,0,0,418419,968211553,101,02-01-2018,108432887,90,NOS,02-01-2018,90,,,0,,0,90
6200020813,02-01-2018,W001,CENTRAL GODOWN - AMBALA,7,Haryana,6113024321,GW01,MUMBAI,13,Maharashtra,27721151233V DT 01/01/2016,ASWH810-IVY,"SWH10 LT (810) Solarium Dlx, V MTG, IVY",22,ASWH,ZFGS,,,40229,0,0,40229,968211553,91,02-01-2018,108432887,10,NOS,02-01-2018,10,,,0,,0,10
6200020813,02-01-2018,W001,CENTRAL GODOWN - AMBALA,7,Haryana,6113024321,GW01,MUMBAI,13,Maharashtra,27721151233V DT 01/01/2016,ASWH610A-IVY,"SWH10 LT (610) Arno, V MTG, IVY",22,ASWH,ZFGS,,,37318,0,0,37318,968211553,81,02-01-2018,108432887,11,NOS,02-01-2018,11,,,0,,0,11
6200020811,02-01-2018,W001,CENTRAL GODOWN - AMBALA,7,Haryana,6113024321,GW01,MUMBAI,13,Maharashtra,27721151233V DT 01/01/2016,ASWH1425-WHT/BRW,"SWH 25L ARNO DLX,VERT MTG, WHT/GRY",22,ASWH,ZFGS,,,30338,0,0,30338,968211552,671,02-01-2018,108432886,6,NOS,02-01-2018,6,,,0,,0,6
6200020811,02-01-2018,W001,CENTRAL GODOWN - AMBALA,7,Haryana,6113024321,GW01,MUMBAI,13,Maharashtra,27721151233V DT 01/01/2016,ASWH825-IVY,"SWH25 LT (825) Solarium Dlx, V MTG, IVY",22,ASWH,ZFGS,,,92097,0,0,92097,968211552,501,02-01-2018,108432886,18,NOS,02-01-2018,18,,,0,,0,18
6200020811,02-01-2018,W001,CENTRAL GODOWN - AMBALA,7,Haryana,6113024321,GW01,MUMBAI,13,Maharashtra,27721151233V DT 01/01/2016,ASWH615HZ-IVY,"SWH 15LT (615) ARNO HZ / FLR, IVY",22,ASWH,ZFGS,,,369546,0,0,369546,968211552,371,02-01-2018,108432886,100,NOS,02-01-2018,100,,,0,,0,100
6200020811,02-01-2018,W001,CENTRAL GODOWN - AMBALA,7,Haryana,6113024321,GW01,MUMBAI,13,Maharashtra,27721151233V DT 01/01/2016,ASWH606A-IVY,"SWH06 LT (606) Arno, V MTG, IVY",22,ASWH,ZFGS,,,6515,0,0,6515,968211552,271,02-01-2018,108432886,2,NOS,02-01-2018,2,,,0,,0,2
6200020811,02-01-2018,W001,CENTRAL GODOWN - AMBALA,7,Haryana,6113024321,GW01,MUMBAI,13,Maharashtra,27721151233V DT 01/01/2016,AIWH01PC1(3KW)-IVY,"IWH SOL (3KW)-IVY,CL I, 6.5 BAR, 1 LTR",22,AIWH,ZFGS,,,186511,0,0,186511,968211552,21,02-01-2018,108432886,120,NOS,02-01-2018,120,,,0,,0,120
6200020730,30-12-2017,W001,CENTRAL GODOWN - AMBALA,7,Haryana,6113024321,GW01,MUMBAI,13,Maharashtra,27721151233V DT 01/01/2016,ASWH1525-WHT/BRW,"SWH 25L, ARNO POWER, VERT MTG, WHT/GRY",22,ASWH,ZFGS,,,55732,0,0,55732,968211551,91,02-01-2018,108432885,14,NOS,02-01-2018,14,,,0,,0,14
6200020730,30-12-2017,W001,CENTRAL GODOWN - AMBALA,7,Haryana,6113024321,GW01,MUMBAI,13,Maharashtra,27721151233V DT 01/01/2016,ASWH1515-WHT/BRW,"SWH 15L,ARNO POWER, VERT MTG, WHT/GRY",22,ASWH,ZFGS,,,104851,0,0,104851,968211551,81,02-01-2018,108432885,30,NOS,02-01-2018,30,,,0,,0,30
6200020730,30-12-2017,W001,CENTRAL GODOWN - AMBALA,7,Haryana,6113024321,GW01,MUMBAI,13,Maharashtra,27721151233V DT 01/01/2016,ASWH606A-IVY,"SWH06 LT (606) Arno, V MTG, IVY",22,ASWH,ZFGS,,,16288,0,0,16288,968211551,61,02-01-2018,108432885,5,NOS,02-01-2018,5,,,0,,0,5
6200020730,30-12-2017,W001,CENTRAL GODOWN - AMBALA,7,Haryana,6113024321,GW01,MUMBAI,13,Maharashtra,27721151233V DT 01/01/2016,ASWH1015-WHTGRYSIL,"SWH 15LTR (1015),MAGNA,V MTG,WHT GRY SVR",22,ASWH,ZFGS,,,30114,0,0,30114,968211551,31,02-01-2018,108432885,6,NOS,02-01-2018,6,,,0,,0,6
6200020712,30-12-2017,W001,CENTRAL GODOWN - AMBALA,7,Haryana,6113024321,GW01,MUMBAI,13,Maharashtra,27721151233V DT 01/01/2016,TRIT48ABR,TRITON 1200MM ANTQ BRASS WOR CF,20,FNCFPRM,ZFGS,,,12188,12181,0,12188,968211550,2541,02-01-2018,108432884,4,NOS,02-01-2018,4,,,0,,0,4
6200020712,30-12-2017,W001,CENTRAL GODOWN - AMBALA,7,Haryana,6113024321,GW01,MUMBAI,13,Maharashtra,27721151233V DT 01/01/2016,EXHD380-4-1,EXHAUST FAN 380-4-1,20,FNINDHDEF,ZFGS,,,237911,284817,0,237911,968211550,2511,02-01-2018,108432884,109,NOS,02-01-2018,109,,,0,,0,109
6200020712,30-12-2017,W001,CENTRAL GODOWN - AMBALA,7,Haryana,6113024321,GW01,MUMBAI,13,Maharashtra,27721151233V DT 01/01/2016,CB48IVY,COOL BREEZE 1200MM IVORY,20,FNCFECO,ZFGS,,,332764,367172,0,332764,968211550,2481,02-01-2018,108432884,368,NOS,02-01-2018,368,,,0,,0,368
6200020712,30-12-2017,W001,CENTRAL GODOWN - AMBALA,7,Haryana,6113024321,GW01,MUMBAI,13,Maharashtra,27721151233V DT 01/01/2016,BRIZ48OPW,BRIZAIR 1200MM OPAL WHT - WOR,20,FNCFECO,ZFGS,,,7431,7982,0,7431,968211550,2451,02-01-2018,108432884,8,NOS,02-01-2018,8,,,0,,0,8
6200020712,30-12-2017,W001,CENTRAL GODOWN - AMBALA,7,Haryana,6113024321,GW01,MUMBAI,13,Maharashtra,27721151233V DT 01/01/2016,BRIZ48IVY,BRIZAIR 1200MM IVY CF W/O REG,20,FNCFECO,ZFGS,,,3731,3991,0,3731,968211550,2441,02-01-2018,108432884,4,NOS,02-01-2018,4,,,0,,0,4
6200020712,30-12-2017,W001,CENTRAL GODOWN - AMBALA,7,Haryana,6113024321,GW01,MUMBAI,13,Maharashtra,27721151233V DT 01/01/2016,AXIALAIR6IVY,"AXIAL AIR 150 MM (6"") FAN IVY",20,FNDOMEX,ZFGS,,,68287,83070,0,68287,968211550,2381,02-01-2018,108432884,120,NOS,02-01-2018,120,,,0,,0,120
6200020811,02-01-2018,W001,CENTRAL GODOWN - AMBALA,7,Haryana,6113024321,GS05,HYDERABAD,36,Telangana,36796078699 DT 01.01.2016,ASWH1515-WHT/BRW,"SWH 15L,ARNO POWER, VERT MTG, WHT/GRY",22,ASWH,ZFGS,,,1135888,0,0,1135888,968211549,711,02-01-2018,108432872,325,NOS,02-01-2018,325,,,0,,0,325
6200020811,02-01-2018,W001,CENTRAL GODOWN - AMBALA,7,Haryana,6113024321,GS05,HYDERABAD,36,Telangana,36796078699 DT 01.01.2016,ASWH1415-WHT/BRW,"SWH 15L ARNO DLX,VERT MTG, WHT/GRY",22,ASWH,ZFGS,,,34802,0,0,34802,968211549,641,02-01-2018,108432872,8,NOS,02-01-2018,8,,,0,,0,8
